,id,question,code_concise,code_verbose,answer,predict
470,471,What day of the week has the most shipments? (detailed),df['date']=pd.to_datetime(df['date']); result = df.groupby(df['date'].dt.day_name())['id'].count().idxmax(),"df['date']=pd.to_datetime(df['date'])
# day of week with most shipments
result = df.groupby(df['date'].dt.day_name())['id'].count().idxmax()
",Monday,"        date day_of_week  shipment_count
0 2024-01-08      Monday             144
1 2024-01-05      Friday             143
2 2024-01-02     Tuesday             143
3 2024-01-04    Thursday             143
4 2024-01-03   Wednesday             143
5 2024-01-06    Saturday             142
6 2024-01-07      Sunday             142"
471,472,What is the most recent shipment date? (detailed),df['date']=pd.to_datetime(df['date']); result = df['date'].max(),"df['date']=pd.to_datetime(df['date'])
# most recent shipment date
result = df['date'].max()
",2024-12-30 00:00:00,The most recent shipment date is 2024-12-30 00:00:00.
472,473,What is the 95th percentile of delivery time? (detailed),result = df['delivery_time'].quantile(0.95),"# 95th percentile of delivery_time
result = df['delivery_time'].quantile(0.95)
",6.87,6.87
473,474,What is the total delay time across all shipments? (count only),result = df['delay_minutes'].sum(),"# total delay minutes across dataset
result = df['delay_minutes'].sum()
",52784,52784.0
474,475,Show total delayed shipments last month. (count only),df['date']=pd.to_datetime(df['date']); m=df['date'].max().month; y=df['date'].max().year; result = df[(df['date'].dt.month==m)&(df['date'].dt.year==y)&(df['delay_minutes']>0)].shape[0],"df['date']=pd.to_datetime(df['date'])
max_date = df['date'].max()
month = max_date.month; year = max_date.year
result = df[(df['date'].dt.month==month) & (df['date'].dt.year==year) & (df['delay_minutes']>0)].shape[0]
",48,50
475,476,What is the average delay time across all shipments? (count only),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",52.784
476,477,Which warehouse had the most weather-related delays? (count only),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The warehouse with the most weather-related delays is WH3.
477,478,Which warehouse had the most weather-related delays? (count only),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The warehouse with the most weather-related delays is WH3.
478,479,What is the average delay time across all shipments? (count only),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",52.784
479,480,Find routes where delivery time is rising but delay minutes are decreasing. (count only),"df['date']=pd.to_datetime(df['date']); result = []
# compute monthly trend per route
monthly_dt = df.set_index(pd.to_datetime(df['date'])).groupby('route')['delivery_time'].resample('M').mean().unstack(0)
monthly_delay = df.set_index(pd.to_datetime(df['date'])).groupby('route')['delay_minutes'].resample('M').mean().unstack(0)
for col in monthly_dt.columns:
    if monthly_dt[col].iloc[-1] > monthly_dt[col].iloc[0] and monthly_delay[col].iloc[-1] < monthly_delay[col].iloc[0]:
        result.append(col)","df['date']=pd.to_datetime(df['date'])
monthly_dt = df.set_index('date').groupby('route')['delivery_time'].resample('M').mean().unstack(0)
monthly_delay = df.set_index('date').groupby('route')['delay_minutes'].resample('M').mean().unstack(0)
trend_dt = (monthly_dt.iloc[-1] - monthly_dt.iloc[0]) > 0
trend_delay = (monthly_delay.iloc[-1] - monthly_delay.iloc[0]) < 0
result = list(monthly_dt.columns[trend_dt & trend_delay])
","['Route A', 'Route C', 'Route D']","     route  count
0  Route B    197
1  Route C    183
2  Route A    204
3  Route E    213
4  Route D    203"
480,481,How many warehouses are involved? (detailed),result = df['warehouse'].nunique(),"# number of unique warehouses
result = df['warehouse'].nunique()
",4,4
481,482,What day of the week has the most shipments? (detailed),df['date']=pd.to_datetime(df['date']); result = df.groupby(df['date'].dt.day_name())['id'].count().idxmax(),"df['date']=pd.to_datetime(df['date'])
# day of week with most shipments
result = df.groupby(df['date'].dt.day_name())['id'].count().idxmax()
",Monday,The day of the week with the most shipments is 2024-02-13 00:00:00.
482,483,What percentage of all shipments were delayed? (count only),result = (df['delay_minutes']>0).mean()*100,"# percentage of shipments delayed
result = (df['delay_minutes']>0).mean() * 100
",83.0,83.0
483,484,How many shipments occurred per month? (detailed),df['date']=pd.to_datetime(df['date']); result = df.groupby(df['date'].dt.month)['id'].count(),"df['date']=pd.to_datetime(df['date'])
# shipments per month
result = df.groupby(df['date'].dt.month)['id'].count().reset_index(name='count')
","date
1     92
2     87
3     93
4     90
5     93
6     90
7     93
8     93
9     87
10    62
11    60
12    60
Name: id, dtype: int64","      month  shipments_count
0   2024-01               92
1   2024-02               87
2   2024-03               93
3   2024-04               90
4   2024-05               93
5   2024-06               90
6   2024-07               93
7   2024-08               93
8   2024-09               87
9   2024-10               62
10  2024-11               60
11  2024-12               60"
484,485,Which warehouse had the most weather-related delays? (count only),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  delay_count
0       WH3           38"
485,486,Which warehouse served the most different routes? (detailed),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  distinct_routes
0       WH3                5
1       WH1                5
2       WH2                5
3       WH4                5"
486,487,Which warehouse shows the shortest delivery time overall? (detailed),"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The warehouse with the shortest delivery time overall is 'WH4' with an average delivery time of 5.45 hours.
487,488,What is the correlation between delivery_time and delay_minutes? (count only),result = df['delivery_time'].corr(df['delay_minutes']),"# correlation between delivery_time and delay_minutes
result = df['delivery_time'].corr(df['delay_minutes'])
",-0.004137855444638635,-0.004137855444638722
488,489,Rank all routes by reliability (fewest delays to most). (count only),result = df.groupby('route').apply(lambda g:(g['delay_minutes']==0).mean()).sort_values(ascending=False),"# rank routes by on-time rate
result = df.groupby('route').apply(lambda g: (g['delay_minutes']==0).mean()).sort_values(ascending=False).reset_index(name='on_time_rate')
","route
Route C    0.191257
Route A    0.186275
Route E    0.169014
Route D    0.157635
Route B    0.147208
dtype: float64","     route  total_shipments  delayed_shipments
0  Route C              183              148.0
1  Route A              204              166.0
2  Route B              197              168.0
3  Route D              203              171.0
4  Route E              213              177.0"
489,490,Show the route-wise breakdown of delay reasons. (count only),"result = df[df['delay_minutes']>0].groupby(['route','delay_reason'])['id'].count()","# breakdown of delay reasons by route
result = df[df['delay_minutes']>0].groupby(['route','delay_reason'])['id'].count().reset_index(name='count')
","route    delay_reason    
Route A  Customs Delay       24
         Driver Rest         31
         Mechanical Issue    27
         Minor Breakdown     22
         Traffic             29
         Weather             33
Route B  Customs Delay       22
         Driver Rest         38
         Mechanical Issue    24
         Minor Breakdown     29
         Traffic             30
         Weather             25
Route C  Customs Delay       17
         Driver Rest         21
         Mechanical Issue    28
         Minor Breakdown     30
         Traffic             32
         Weather             20
Route D  Customs Delay       21
         Driver Rest         30
         Mechanical Issue    41
         Minor Breakdown     20
         Traffic             29
         Weather             30
Route E  Customs Delay       31
         Driver Rest         25
         Mechanical Issue    23
         Minor Breakdown     32
         Traffic             37
         Weather             29
Name: id, dtype: int64","      route      delay_reason  count
0   Route A              None     38
1   Route A           Weather     33
2   Route A       Driver Rest     31
3   Route A           Traffic     29
4   Route A  Mechanical Issue     27
5   Route A     Customs Delay     24
6   Route A   Minor Breakdown     22
7   Route B       Driver Rest     38
8   Route B           Traffic     30
9   Route B              None     29
10  Route B   Minor Breakdown     29
11  Route B           Weather     25
12  Route B  Mechanical Issue     24
13  Route B     Customs Delay     22
14  Route C              None     35
15  Route C           Traffic     32
16  Route C   Minor Breakdown     30
17  Route C  Mechanical Issue     28
18  Route C       Driver Rest     21
19  Route C           Weather     20
20  Route C     Customs Delay     17
21  Route D  Mechanical Issue     41
22  Route D              None     32
23  Route D           Weather     30
24  Route D       Driver Rest     30
25  Route D           Traffic     29
26  Route D     Customs Delay     21
27  Route D   Minor Breakdown     20
28  Route E           Traffic     37
29  Route E              None     36
30  Route E   Minor Breakdown     32
31  Route E     Customs Delay     31
32  Route E           Weather     29
33  Route E       Driver Rest     25
34  Route E  Mechanical Issue     23"
